Colectivo,Orgánicos Kg,Orgánicos secos Kg,Total orgánicos Kg,Orgánicos procesados t,Tipo,Tecnica,Primer registro,Último registro,Años registrando,Días trabajados registrados,t orgánicos/mes,t orgánicos/año,Link red social,Alcance personas/colectivo,Horario de trabajo,Link ubicación ,Latitud y longitud,Localidad / municipio,Ciudad,Departamento,Crédito de carbono COP ,Potencial GWP del metano,t metano/t orgánicos,t CO2e/t orgánicos ,Metano evitado t,CO2e evitado t (VERs),COP/créditos de carbono,Metano evitado t/mes,Metano evitado t/año,CO2e evitado t/mes,CO2e evitado t/año,Costo/t en vertedero COP,t residuos/día/ciudad,Capacidad camion t,Viajes camion/día/ciudad,Gestión/día/ciudad COP,Viajes de camion evitados,Ahorro/gestón COP,% producción abono,Abono producido t,Humedad L/t,pH,Conductividad dS/m,% retención de humedad,Cenizas Kg/t,Perdidas por volatización Kg/t,Cap inter catiónico-CIC cmol/kg,Densidad g/cm³,Carbono orgánico Kg/t,Relación Carbono/Nitógeno,Nitrógeno Kg/t
Quinzata,"1730,7","1730,7","3461,4","3,46",Huerta urbana,Paca,21/3/2023,3/7/2026,"3,3",109,"0,09","1,05",https://www.instagram.com/huertaquinzata?igsh=MzRlODBiNWFlZA==,1842,Domingos 10:00 am a 2 pm,https://maps.app.goo.gl/WmBM9D23vvEZWCpK7,"4.724042267321705, -74.11325550523149",Engativá,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,42","11,81348129",$242.176,"0,0107","0,129","0,300","3,598",110351,7500,12,625, $827.632.500,"0,29",$381.969,"0,46","1,6","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Rads,0,0,0,"0,00",Comunidad,Paca,,,"0,0",0,"0,00","0,00",https://www.instagram.com/radscolombia/?hl=es,3895,Horario pendiente,https://maps.app.goo.gl/yRwX3XXLkK6TuLkp8,"5.833161775871925, -73.03750668465521",Duitama,Duitama,Boyaca,$20.500,28,"0,12189","3,41","0,00",0,$0,"0,0000","0,000","0,000","0,000",60000,70,12,6, $4.200.000,"0,00",$0,"0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0"
Resiliencia,"3725,8","3725,8","7451,6","7,45",Huerta urbana,Paca,17/9/2023,12/7/2026,"2,8",45,"0,22","2,64",https://www.instagram.com/huertalaresiliencia?igsh=MzRlODBiNWFlZA==,2232,Domingos 9:30 am a 12 m,https://maps.app.goo.gl/krAn7pEDR6DuneZC6,"4.7302929074420925, -74.11422145767257",Engativá,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,91","25,43171467",$521.350,"0,0268","0,322","0,752","9,020",110351,7500,12,625, $827.632.500,"0,62",$822.292,"0,46","3,4","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Santa Catalina,"11,1","11,1","22,2","0,02",Huerta urbana,Paca,16/4/2024,13/7/2024,"0,2",8,"0,01","0,09",https://www.facebook.com/HuertAStaCata,826,Domingos 10 am a 6 pm,https://maps.app.goo.gl/WxaojzNpJJngoeFKA,"4.64879183052437, -74.13900427116373",Kenedy,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,00","0,075766824",$1.553,"0,0009","0,011","0,026","0,314",110351,7500,12,625, $827.632.500,"0,00",$2.450,"0,46","0,0","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Sendero Colibrí,"3427,85","3427,85","6855,7","6,86",Nodo paquero,Paca,2/12/2023,7/6/2026,"2,5",34,"0,23","2,73",https://www.facebook.com/PacaSenderoColibri?mibextid=ZbWKwL,609,Sábados cada 15 dias,https://maps.app.goo.gl/mZxpkydV8FLNqafr5,"4.633787040959684, -74.08922662883629",Puente Aranda,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,84","23,39795564",$479.658,"0,0277","0,332","0,776","9,307",110351,7500,12,625, $827.632.500,"0,57",$756.533,"0,46","3,1","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Shesewa,0,0,0,"0,00",Huerta urbana,Paca,,,"0,0",0,"0,00","0,00",https://www.instagram.com/huertashesewa?igsh=MzRlODBiNWFlZA==,660,Sábados 9:00 am a 11:00 am,https://maps.app.goo.gl/oTgxD2D4UtTs4bXF6,"4.696558831415457, -74.11203189999999",Engativá,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,00",0,$0,"0,0000","0,000","0,000","0,000",110351,7500,12,625, $827.632.500,"0,00",$0,"0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0"
Siata,0,0,0,"0,00",Huerta urbana,Paca,,,"0,0",0,"0,00","0,00",https://www.instagram.com/huerta.siata?igsh=MzRlODBiNWFlZA==,2440,Domingos 9:30 am,https://maps.app.goo.gl/h49fvvB3Py84zQwi6,"4.733868047532894, -74.05548765119151",Suba,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,00",0,$0,"0,0000","0,000","0,000","0,000",110351,7500,12,625, $827.632.500,"0,00",$0,"0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0"
Terraza Verde,267,267,534,"0,53",Huerta urbana,Paca,30/6/2025,30/6/2025,"0,0",1,"0,00","0,00",https://www.facebook.com/profile.php?id=61556664878801,36,Viernes 9:00 - 11:00 niños y 4:00 a 6:00 pm adultos,https://maps.app.goo.gl/oavN1iiNm693YAUx8,"4.497713742849349, -74.10394735581858",Usme,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,07","1,82249928",$37.361,"0,0000","0,000","0,000","0,000",110351,7500,12,625, $827.632.500,"0,04",$58.927,"0,46","0,2","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Tesla,0,0,0,"0,00",Huerta urbana,Paca,,,"0,0",0,"0,00","0,00",https://www.instagram.com/huertatesla?igsh=MzRlODBiNWFlZA==,855,Domingos 9 am a 12 m,https://maps.app.goo.gl/W73nJ8N9eyqFFGoJ8,"4.6681682790013195, -74.15405902706608",Fontibon,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,00",0,$0,"0,0000","0,000","0,000","0,000",110351,7500,12,625, $827.632.500,"0,00",$0,"0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0"
Tingüativa,0,0,0,"0,00",Huerta urbana,Paca,,,"0,0",0,"0,00","0,00",https://web.facebook.com/profile.php?id=100064737488647,646,Domingos 8 am a 2 pm,https://maps.google.com/?cid=14388600665173684854&entry=gps,"4.698033138250718, -74.10048512698228",Engativá,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,00",0,$0,"0,0000","0,000","0,000","0,000",110351,7500,12,625, $827.632.500,"0,00",$0,"0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0"
Tochua,"7868,23","7868,23","15736,46","15,74",Huerta urbana,Paca,11/6/2023,5/7/2026,"3,1",88,"0,43","5,13",https://www.instagram.com/huerta.tochua/,1220,Domingos 10 am a 12 m,https://maps.app.goo.gl/aAgspjT1RnuBT9dY8,"4.725765410148157, -74.10884584589454",Engativá,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","1,92","53,70727906",$1.100.999,"0,0521","0,625","1,459","17,513",110351,7500,12,625, $827.632.500,"1,31",$1.736.534,"0,46","7,2","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Uaque-Maloka,0,0,0,"0,00",Nodo paquero,Paca,,,"0,0",0,"0,00","0,00",Sin red social,0,Sábado o domingo cada 15 días 9 am,https://maps.app.goo.gl/gabS8eqk9uL1VLtY7,"4.656186687881522, -74.1094619",Barrios Unidos,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,00",0,$0,"0,0000","0,000","0,000","0,000",110351,7500,12,625, $827.632.500,"0,00",$0,"0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0"
Vive vibra verde,164025,0,164025,"164,03",Emprendimiento,Deshidratación,31/12/2023,31/7/2025,"1,6",21,"8,63","103,59",https://www.instagram.com/vive_vibraverde?igsh=ZHBkc25uempiYW00,3727,Horario pendiente,https://maps.app.goo.gl/uhcuJSa4ecQ73BdF7,"4.608437534161344, -74.1381975",Kenedy,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","19,99","559,804203",$11.475.986,"1,0523","12,627","29,463","353,561",110351,7500,12,625, $827.632.500,"13,67",$18.100.323,"0,46","75,0","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Xiegua,"1370,78","1370,78","2741,56","2,74",Huerta urbana,Paca,1/12/2024,13/7/2025,"0,6",34,"0,37","4,45",https://www.instagram.com/colectivo_xiegua?igsh=MzRlODBiNWFlZA==,881,"Huerta Martes 6 pm, Paca Sábados 11 am",https://maps.app.goo.gl/He6TCA69j42CAwHV9,"4.735139467850689, -74.03814126308768",Suba,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,33","9,356724955",$191.813,"0,0452","0,542","1,264","15,173",110351,7500,12,625, $827.632.500,"0,23",$302.534,"0,46","1,3","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
