Colectivo,Orgánicos Kg,Orgánicos secos Kg,Total orgánicos Kg,Orgánicos procesados t,Tipo,Tecnica,Primer registro,Último registro,Años registrando,Días trabajados registrados,t orgánicos/mes,t orgánicos/año,Link red social,Alcance personas/colectivo,Horario de trabajo,Link ubicación ,Latitud y longitud,Localidad / municipio,Ciudad,Departamento,Crédito de carbono COP ,Potencial GWP del metano,t metano/t orgánicos,t CO2e/t orgánicos ,Metano evitado t,CO2e evitado t (VERs),COP/créditos de carbono,Metano evitado t/mes,Metano evitado t/año,CO2e evitado t/mes,CO2e evitado t/año,Costo/t en vertedero COP,t residuos/día/ciudad,Capacidad camion t,Viajes camion/día/ciudad,Gestión/día/ciudad COP,Viajes de camion evitados,Ahorro/gestón COP,% producción abono,Abono producido t,Humedad L/t,pH,Conductividad dS/m,% retención de humedad,Cenizas Kg/t,Perdidas por volatización Kg/t,Cap inter catiónico-CIC cmol/kg,Densidad g/cm³,Carbono orgánico Kg/t,Relación Carbono/Nitógeno,Nitrógeno Kg/t
Nukak,"249,92","249,92","499,84","0,50",Huerta urbana,Paca,18/2/2024,19/5/2024,"0,3",7,"0,16","1,98",https://www.instagram.com/huerta.nukak?igsh=MTVyZXN4ZmVzZG16ZQ==,1031,Domingos 9 am a 10 am,https://maps.app.goo.gl/d3CfEJBgrnECV5sj7,"4.672502903398884, -74.12148307116372",Fontibon,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,06","1,705913933",$34.971,"0,0201","0,241","0,562","6,749",110351,7500,12,625, $827.632.500,"0,04",$55.158,"0,46","0,2","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Obafinsuka ,0,0,0,"0,00",Huerta urbana,Paca,,,"0,0",0,"0,00","0,00",https://www.instagram.com/obafinsukaecosistematintal?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,1340,Miércoles y sábado 7:00 am a 10:00 am,https://goo.gl/maps/uEfnppRwRkeTXhwy9,"4.6559646632244, -74.16291427547627",Kenedy,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,00",0,$0,"0,0000","0,000","0,000","0,000",110351,7500,12,625, $827.632.500,"0,00",$0,"0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0"
Ozaín Verde Vida,0,0,0,"0,00",Huerta urbana,Paca,,,"0,0",0,"0,00","0,00",https://www.facebook.com/profile.php?id=61556664878801,36,Sábados de 7:00 am a 9:00 am,https://maps.app.goo.gl/dUht7iGim3ZBcDax5,"4.502275566745203, -74.08028291534515",Usme,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,00",0,$0,"0,0000","0,000","0,000","0,000",110351,7500,12,625, $827.632.500,"0,00",$0,"0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0"
Pa' todos vida,2607,2607,5214,"5,21",Colectivo,Paca,2/3/2025,3/8/2025,"0,4",17,"1,04","12,43",https://www.instagram.com/pa_todosvida?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,82,"8 am a 10 am, cada quince días",https://maps.app.goo.gl/6CPbCfvvvZKib3YWA,"4.6484850074176185, -74.06914857065581",Teusaquillo,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,64","17,79496488",$364.797,"0,1263","1,515","3,535","42,425",110351,7500,12,625, $827.632.500,"0,43",$575.370,"0,46","2,4","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Paca de Acevedo,0,0,0,"0,00",Nodo paquero,Paca,,,"0,0",0,"0,00","0,00",Sin red social,0,Domingos cada 15 dias,https://maps.app.goo.gl/uicxa1Qx9z1NfLcp6,"4.63262123661061, -74.08132013502286",Teusaquillo,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,00",0,$0,"0,0000","0,000","0,000","0,000",110351,7500,12,625, $827.632.500,"0,00",$0,"0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0"
Paca del IBC,"179,72","179,72","359,44","0,36",Colegio,Paca,15/8/2024,20/2/2026,"1,5",16,"0,02","0,24",https://www.instagram.com/coleibc_/,227,Lunes a Viernes 6 am a 1pm,https://maps.app.goo.gl/5H2HSvQiRqECX9hf8,"4.592043718678715, -74.07502130793122",La Candelaria,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,04","1,226739965",$25.148,"0,0024","0,029","0,068","0,810",110351,7500,12,625, $827.632.500,"0,03",$39.665,"0,46","0,2","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Paca Mama,0,0,0,"0,00",Huerta urbana,Paca,,,"0,0",0,"0,00","0,00",https://www.instagram.com/paca.mama?igsh=dnl3Ymh5bG0xeXhq,1173,Sábados 10 am,https://maps.app.goo.gl/VVAdJgoUxnMWXb3y9,"4.581854213794314, -74.09283570348761",Rafael Uribe Uribe,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,00",0,$0,"0,0000","0,000","0,000","0,000",110351,7500,12,625, $827.632.500,"0,00",$0,"0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0"
Paca Portugal,108,108,216,"0,22",Huerta urbana,Paca,30/5/2026,27/6/2026,"0,1",2,"0,00","0,00",Sin red social,0,"Sábados cada 15 días, 10am-12pm",https://maps.app.goo.gl/H8fgHxPTAeDy5Bzr7,"4.64363586064222, -74.06036755889546",Chapinero,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,03","0,73719072",$15.112,"0,0000","0,000","0,000","0,000",110351,7500,12,625, $827.632.500,"0,02",$23.836,"0,46","0,1","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Paca Recreo Frailes Pacari,300,300,600,"0,60",Huerta urbana,Paca,18/5/2025,18/5/2025,"0,0",1,"0,00","0,00",https://www.instagram.com/pacadigestorasilvarecreobatan?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,6825,Domingos 10-12 martes 4-6 viernes 5-7 ,https://maps.app.goo.gl/xpi2w1uy2BrjpMKn7?g_st=ic,"4.705267787866294, -74.06221013069027",Suba,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,07","2,047752",$41.979,"0,0000","0,000","0,000","0,000",110351,7500,12,625, $827.632.500,"0,05",$66.211,"0,46","0,3","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
Paca-huerta Colibrí,335,335,670,"0,67",Huerta urbana,Paca,23/11/2025,24/5/2026,"0,5",7,"0,11","1,33",Sin red social,0,Domingos 10 am,https://maps.app.goo.gl/MvhnMEqikJ4YfJmR6,"4.611539811712525, -74.06532511812203",Santa Fe,Bogotá,Cundinamarca,$20.500,28,"0,12189","3,41","0,08","2,2866564",$46.876,"0,0135","0,162","0,379","4,548",110351,7500,12,625, $827.632.500,"0,06",$73.935,"0,46","0,3","366,7","6,9","2,6","500,0","162,5","150,0","46,5","0,7","254,2",16:1,"22,5"
